effect,category,hazard_sys_norm,type,n_clinset1,n_clinset2,n_clinsetnon
"nasal obstruction,",incidental,respiratory,clinical,1,NA,NA
nasal signs & symptoms,NA,respiratory,clinical,1,NA,NA
nasopharyngitis,incidental,respiratory,clinical,10,6,NA
nasopharyngitis (b),incidental,respiratory,clinical,NA,NA,NA
nasopharyngitis/pharyngitis,incidental,respiratory,clinical,NA,1,NA
nasopharyngitis/pharyngitis/uri,incidental,respiratory,clinical,1,NA,NA
nasopharyngitis/rhinitis/uri,incidental,respiratory,clinical,NA,1,NA
nause (a),incidental,gastrointestinal,clinical,NA,NA,NA
nausea,incidental,gastrointestinal,clinical,66,44,NA
nausea and/or vomiting,incidental,gastrointestinal,clinical,2,NA,NA
nausea/vomiting,incidental,gastrointestinal,clinical,1,NA,NA
nausea/vomiting symptoms,incidental,gastrointestinal,clinical,NA,NA,NA
nauseaa,incidental,gastrointestinal,clinical,NA,2,NA
neck pain,incidental,musculoskeletal,clinical,NA,NA,NA
neck rigidity,NA,musculoskeletal,clinical,NA,NA,NA
necrosis,NA,no category,nonclinical,NA,NA,23
necrosis of pituitary,NA,endocrine,nonclinical,NA,NA,5
"necrosis, testis",NA,reproductive,nonclinical,NA,NA,4
nephritis,NA,renal,nonclinical,NA,NA,10
nephrocalcinosis,NA,renal,nonclinical,NA,NA,1
nephrolith (pharmaceutical),NA,no category,nonclinical,NA,NA,1
nephrolithiasis,NA,renal,nonclinical,NA,NA,2
nephropathy,NA,renal,nonclinical,NA,NA,55
nephrotoxicity,NA,renal,clinical,NA,1,NA
nervous,NA,nervous,clinical,1,NA,NA
nervous system,NA,nervous,clinical,1,NA,NA
nervous system disorders,NA,nervous,clinical,4,1,NA
nervousness,NA,nervous,clinical,4,2,NA
neurological,NA,nervous,clinical,NA,1,NA
neurology altered taste headache,NA,nervous,clinical,NA,NA,NA
neuropathy,NA,nervous,clinical,1,1,NA
neurotoxicity,NA,nervous,clinical,NA,15,NA
neutropenia,NA,hematologic,clinical,8,5,NA
neutrophil decrease,NA,hematologic,clinical,1,NA,NA
neutrophils >20x10 9 /l,NA,hematologic,clinical,NA,NA,NA
neutrophils decrease,NA,hematologic,clinical,1,NA,NA
neutrophils decreased,NA,hematologic,clinical,NA,2,NA
nightmare,incidental,nervous,clinical,NA,NA,NA
nightmare/abnormal dream,incidental,nervous,clinical,1,NA,NA
nightmare/abnormal dreams,incidental,nervous,clinical,NA,NA,NA
no abnormal phenotype detected,NA,no category,nonclinical,NA,NA,17
no effects meet criteria,NA,NA,clinical,38,NA,NA
nocturia,incidental,renal,clinical,1,NA,NA
non-cardiac chest pain,incidental,cardiovascular,clinical,NA,NA,NA
non-pathologic fracture,incidental,no category,clinical,1,NA,NA
non-specific dyspnea,incidental,respiratory,clinical,1,NA,NA
nose,NA,no category,nonclinical,NA,NA,1
nystagmus,NA,nervous,clinical,2,2,NA
obstruction of esophagus,NA,no category,nonclinical,NA,NA,1
occular toxicity,NA,ocular,clinical,NA,NA,NA
ocular effects,NA,ocular,clinical,1,NA,NA
oedema,incidental,no category,clinical,NA,NA,NA
oedema peripheral,incidental,dermal,clinical,2,NA,NA
oily evacuation,incidental,gastrointestinal,clinical,2,NA,NA
"oily evacuation,",incidental,gastrointestinal,clinical,NA,NA,NA
oily spotting,incidental,gastrointestinal,clinical,2,2,NA
oily evacuation,incidental,gastrointestinal,clinical,NA,2,NA
oligospermia,NA,reproductive,nonclinical,NA,NA,14
oliguria,NA,renal,nonclinical,NA,NA,3
omnolence,incidental,nervous,clinical,NA,1,NA
optic neuropathy,NA,ocular,nonclinical,NA,NA,1
oral moniliasis,NA,immune,clinical,NA,NA,NA
oral pain,incidental,no category,clinical,NA,1,NA
oral pain (d),incidental,no category,clinical,NA,NA,NA
orange urine,NA,renal,nonclinical,NA,NA,3
oropharyngeal pain,incidental,respiratory,clinical,4,1,NA
orthostatic hypotension,NA,cardiovascular,clinical,2,NA,NA
osmotic pressure decreased,NA,no category,nonclinical,NA,NA,3
osmotic pressure increased,NA,no category,nonclinical,NA,NA,1
osseous metaplasia,NA,no category,nonclinical,NA,NA,2
osteoarthritis,NA,musculoskeletal,nonclinical,NA,NA,1
osteodystrophy,NA,musculoskeletal,nonclinical,NA,NA,6
ovary atrophy,NA,reproductive,nonclinical,NA,NA,10
ovary cysts,NA,reproductive,nonclinical,NA,NA,21
ovary degeneration,NA,reproductive,nonclinical,NA,NA,3
ovary discoloration,NA,reproductive,nonclinical,NA,NA,6
ovary hyperplasia,NA,reproductive,nonclinical,NA,NA,8
overall percentage of patients with eps-related ae,NA,no category,clinical,NA,2,NA
packed cell volume decreased,NA,hematologic,nonclinical,NA,NA,30
packed cell volume increased,NA,hematologic,nonclinical,NA,NA,13
paddling,NA,no category,nonclinical,NA,NA,12
pain,incidental,no category,clinical,4,2,NA
pain abdominal,incidental,gastrointestinal,clinical,NA,1,NA
pain at lesion,incidental,no category,clinical,1,NA,NA
pain at lesion administration site,incidental,no category,clinical,NA,NA,NA
pain at lesion of administration site,incidental,no category,clinical,NA,NA,NA
pain back,incidental,musculoskeletal,clinical,NA,NA,NA
pain in extremity,incidental,no category,clinical,4,5,NA
"pain, dental",incidental,no category,clinical,NA,NA,NA
pain and pressure sensation,incidental,no category,clinical,NA,NA,NA
pale kidney,NA,renal,nonclinical,NA,NA,15
pale liver,NA,hepatic,nonclinical,NA,NA,20
pale lung,NA,respiratory,nonclinical,NA,NA,8
pallor,NA,no category,nonclinical,NA,NA,26
palmar plantar erythrodysaethesia syndrome,NA,dermal,clinical,1,NA,NA
palmar‐plantar erythrodysaesthesia syndrome,NA,dermal,clinical,1,NA,NA
palmar-plantar erythrodysaesthesia,NA,dermal,clinical,1,NA,NA
palmar-plantar erythrodysesthesia,NA,dermal,clinical,NA,1,NA
palmar-plantar erythrodysesthesia syndrome,NA,dermal,clinical,1,1,NA
palpable mass,NA,no category,nonclinical,NA,NA,4
palpitations,incidental,cardiovascular,clinical,2,NA,NA
pancreas atrophy,NA,endocrine,nonclinical,NA,NA,14
pancreas degeneration,NA,endocrine,nonclinical,NA,NA,6
pancreas degranulation,NA,endocrine,nonclinical,NA,NA,2
pancreas discoloration,NA,endocrine,nonclinical,NA,NA,7
pancreas fibrosis,NA,endocrine,nonclinical,NA,NA,6
pancreas inflammation,NA,endocrine,nonclinical,NA,NA,14
pancreas necrosis,NA,endocrine,nonclinical,NA,NA,10
pancreas; hypertrophy,NA,endocrine,nonclinical,NA,NA,1
pancreatic acinar cell zymogen granule accumulation,NA,endocrine,nonclinical,NA,NA,8
pancreatic acinar hyperplasia,NA,endocrine,nonclinical,NA,NA,1
"pancreatic hemorrhage, ctcae",NA,endocrine,nonclinical,NA,NA,6
"papilloma, squamous cell",NA,no category,nonclinical,NA,NA,1
paraesthesia,incidental,nervous,clinical,2,2,NA
paranasal sinus disorders,NA,respiratory,clinical,NA,NA,NA
paresis,NA,no category,nonclinical,NA,NA,1
paresthesia,incidental,nervous,clinical,2,2,NA
paresthesias,incidental,nervous,clinical,1,NA,NA
paresthesias and dysesthesias,incidental,nervous,clinical,NA,NA,NA
parkinsonism,NA,nervous,clinical,NA,1,NA
paronychia,NA,dermal,clinical,1,NA,NA
pedal edema,incidental,dermal,clinical,1,NA,NA
peliosis,NA,no category,nonclinical,NA,NA,1
penile erection,NA,reproductive,clinical,1,NA,2
penile erection,NA,reproductive,nonclinical,1,NA,2
penis inflammation,NA,reproductive,nonclinical,NA,NA,1
penis prolapse,NA,reproductive,nonclinical,NA,NA,5
peptic ulcer,NA,gastrointestinal,nonclinical,NA,NA,1
percent of patients with any adverse event,NA,no category,clinical,NA,1,NA
perianal ulcer,NA,no category,nonclinical,NA,NA,1
pericarditis,NA,cardiovascular,nonclinical,NA,NA,4
perifolliculitis,NA,dermal,nonclinical,NA,NA,2
perineal muscle,NA,musculoskeletal,nonclinical,NA,NA,1
periodontal ligament hypercellularity,NA,dermal,nonclinical,NA,NA,2
periodontium inflammation,NA,dermal,nonclinical,NA,NA,4
periorbital swelling,NA,ocular,nonclinical,NA,NA,3
peripheral edema,incidental,no category,clinical,8,3,NA
peripheral edema,incidental,no category,clinical,8,3,NA
peripheral ischemia,NA,cardiovascular,clinical,NA,NA,NA
peripheral neuropathy,NA,nervous,clinical,1,NA,NA
peripheral oedema,incidental,dermal,clinical,1,NA,NA
peripheral sensory neuropathy,NA,nervous,clinical,NA,1,NA
peripheral paraesthesia,incidental,no category,clinical,NA,1,NA
peritoneal inflammation,NA,gastrointestinal,nonclinical,NA,NA,9
permanently discontinued treatment because of an adverse event,NA,no category,clinical,NA,1,NA
petechiae,NA,dermal,clinical,NA,1,NA
peyer's patch,NA,no category,nonclinical,NA,NA,2
pharyngitis,incidental,respiratory,clinical,4,5,1
pharyngolaryngeal pain,incidental,respiratory,clinical,3,1,NA
phosphate decreased,NA,no category,clinical,NA,2,NA
phosphate increased,NA,hematologic,nonclinical,NA,NA,8
"phosphenes, visual brightness",NA,no category,clinical,NA,1,NA
phosphorus,NA,no category,clinical,NA,1,NA
phosphorus decreased,NA,no category,clinical,NA,1,NA
photophobia,NA,ocular,clinical,2,NA,NA
photosensitivity,NA,ocular,clinical,NA,1,NA
photosensitivity reaction,NA,ocular,clinical,3,1,NA
phthisis bulbi,NA,ocular,nonclinical,NA,NA,4
pigment accumulation,NA,dermal,nonclinical,NA,NA,19
pigmentation phenotype,NA,dermal,nonclinical,NA,NA,1
pigmented layer of retina,NA,ocular,nonclinical,NA,NA,1
pigmented macrophages,NA,hematologic,nonclinical,NA,NA,1
piloerection,NA,dermal,nonclinical,NA,NA,65
pituitary adenoma,NA,endocrine,nonclinical,NA,NA,1
pituitary gland,NA,endocrine,nonclinical,NA,NA,2
pituitary gland cyst,NA,endocrine,nonclinical,NA,NA,3
pituitary gland hyperplasia,NA,endocrine,nonclinical,NA,NA,9
pituitary gland hypertrophy,NA,endocrine,nonclinical,NA,NA,13
pituitary gland weight to body weight ratio,NA,endocrine,nonclinical,NA,NA,4
plasmacytosis,NA,hematologic,nonclinical,NA,NA,5
platelet,NA,hematologic,nonclinical,NA,NA,2
platelet count decrease,NA,hematologic,clinical,1,NA,NA
platelet decrease,NA,hematologic,clinical,1,NA,NA
platelet distribution width decreased,NA,hematologic,nonclinical,NA,NA,2
platelet distribution width increased,NA,hematologic,nonclinical,NA,NA,1
platelets,NA,hematologic,clinical,NA,1,NA
platelets decrease,NA,hematologic,clinical,1,NA,NA
platelets decreased,NA,hematologic,clinical,NA,3,NA
pleural fluid,NA,no category,nonclinical,NA,NA,2
pleuritis,NA,respiratory,nonclinical,NA,NA,4
pneumonia,incidental,respiratory,clinical,1,NA,NA
pneumonitis,incidental,respiratory,clinical,1,NA,NA
pneumonitis c,incidental,respiratory,clinical,NA,2,NA
poikilocytosis,NA,hematologic,nonclinical,NA,NA,6
poisoning,incidental,no category,clinical,1,NA,NA
pollakiuria or polyuria,NA,renal,clinical,NA,1,NA
pollakuria,NA,renal,clinical,1,NA,NA
polychromatophilia,NA,no category,nonclinical,NA,NA,1
polyuria,NA,renal,clinical,1,NA,89
polyuria,NA,renal,nonclinical,1,NA,89
porphyrin,NA,no category,nonclinical,NA,NA,1
postictal state,NA,nervous,clinical,NA,NA,NA
potassium <3.0 mmol/l (low),NA,no category,clinical,NA,NA,NA
potassium >6.0 mmol/l  (high),NA,no category,clinical,NA,NA,NA
potassium abnormality,NA,metabolic,clinical,1,NA,NA
potassium decreased,NA,no category,clinical,NA,1,NA
potassium increase,NA,metabolic,clinical,1,NA,NA
potassium increased,NA,no category,clinical,NA,NA,NA
ppe,NA,hematologic,clinical,1,NA,NA
preputial swelling,NA,no category,nonclinical,NA,NA,2
proestrus,NA,reproductive,nonclinical,NA,NA,1
prolactin increase,NA,endocrine,clinical,1,NA,NA
prolonged diestrus,NA,reproductive,nonclinical,NA,NA,3
prolonged estrous cycle,NA,reproductive,nonclinical,NA,NA,5
prolonged metestrus,NA,reproductive,nonclinical,NA,NA,1
prolonged pr interval,NA,cardiovascular,clinical,1,NA,2
prolonged pr interval,NA,cardiovascular,nonclinical,1,NA,2
prolonged qtc interval,NA,cardiovascular,nonclinical,NA,NA,2
prolonged whole-blood clotting time,NA,hematologic,nonclinical,NA,NA,5
prostate gland inflammation,NA,reproductive,nonclinical,NA,NA,17
prostatic hyperplasia,NA,no category,nonclinical,NA,NA,3
proteinosis,NA,no category,nonclinical,NA,NA,4
proteinuria,NA,renal,clinical,9,4,11
proteinuria,NA,renal,nonclinical,9,4,11
pruiritis,incidental,dermal,clinical,1,NA,NA
pruritis,incidental,dermal,clinical,9,NA,NA
pruritis/dry skin; table 46: neutrapenia,incidental,dermal,clinical,1,NA,NA
pruritus,incidental,dermal,clinical,1,5,NA
pruritus #,incidental,dermal,clinical,NA,1,NA
pruritus*,incidental,dermal,clinical,NA,2,NA
pruritus/pruritus generalized,incidental,dermal,clinical,NA,1,NA
pruritus;   subjects >= 12 years: motion sickness,incidental,dermal,clinical,NA,NA,NA
pruritus; subjects >= 12 years: motion sickess,incidental,dermal,clinical,NA,NA,NA
pseudopregnancy,NA,reproductive,nonclinical,NA,NA,1
psychiatric anxiety,NA,nervous,clinical,NA,1,NA
psychomotor slowing,NA,nervous,clinical,1,2,NA
pulmonary alveolar edema,NA,respiratory,nonclinical,NA,NA,1
pulmonary alveolar proteinosis,NA,respiratory,nonclinical,NA,NA,1
pulmonary congestion,NA,respiratory,clinical,NA,NA,8
pulmonary congestion,NA,respiratory,nonclinical,NA,NA,8
pulmonary edema,NA,respiratory,nonclinical,NA,NA,10
pulmonary embolism,NA,cardiovascular,clinical,NA,NA,NA
pulmonary events,NA,respiratory,clinical,1,NA,NA
pulmonary fibrosis,NA,respiratory,nonclinical,NA,NA,4
pulmonary hemorrhage,NA,respiratory,nonclinical,NA,NA,3
pulmonary hyperplasia,NA,respiratory,nonclinical,NA,NA,9
pulmonary infiltrates,NA,respiratory,nonclinical,NA,NA,15
pulmonary vascular congestion,NA,respiratory,nonclinical,NA,NA,2
pulse increase,NA,cardiovascular,clinical,1,NA,NA
pulse rate change,NA,cardiovascular,clinical,1,NA,NA
puncture site pain,incidental,no category,clinical,1,NA,NA
pupil reaction absent,NA,no category,nonclinical,NA,NA,1
purkinje cell degeneration,NA,nervous,nonclinical,NA,NA,1
pyelitis,NA,renal,nonclinical,NA,NA,1
pyelitis; contracted kidney,NA,renal,nonclinical,NA,NA,3
pyelonephritis,NA,renal,nonclinical,NA,NA,17
pyometra,NA,reproductive,nonclinical,NA,NA,2
pyrexia,incidental,no category,clinical,9,1,NA
pyyrexia,incidental,no category,clinical,NA,NA,NA
qt interval prolongation,NA,cardiovascular,clinical,1,NA,NA
qt prolongation,NA,cardiovascular,clinical,2,NA,NA
qt shortening,NA,cardiovascular,clinical,1,NA,NA
qtc prolongation,NA,cardiovascular,clinical,1,NA,NA
qtc prolonged,NA,cardiovascular,clinical,NA,1,NA
qtcf abnormalities,NA,cardiovascular,clinical,1,NA,NA
rales,NA,respiratory,nonclinical,NA,NA,15
rash,incidental,dermal,clinical,20,9,NA
rash (g),incidental,dermal,clinical,NA,NA,NA
rash a,incidental,dermal,clinical,NA,2,NA
rash ‡,incidental,dermal,clinical,NA,1,NA
rash maculopapular,incidental,dermal,clinical,NA,NA,NA
"rash,",incidental,dermal,clinical,1,NA,NA
rash/ desquamation,incidental,dermal,clinical,1,NA,NA
rash§,incidental,dermal,clinical,NA,1,NA
rate of discontinuationrate of discontinuation as a result of an adverse reaction,NA,no category,clinical,NA,1,NA
rbc decrease,NA,hematologic,clinical,1,NA,NA
rectal pain/discomfort,incidental,no category,clinical,NA,NA,NA
recumbency,NA,no category,nonclinical,NA,NA,7
red eye,NA,ocular,nonclinical,NA,NA,7
red urine,NA,renal,nonclinical,NA,NA,13
reddish ears,NA,no category,nonclinical,NA,NA,6
reddish skin,NA,dermal,nonclinical,NA,NA,10
reduced heart rate,NA,cardiovascular,clinical,3,NA,NA
reduced oral body temperature,incidental,no category,clinical,3,NA,NA
regeneration,NA,no category,nonclinical,NA,NA,6
"regeneration, tubule",NA,renal,nonclinical,NA,NA,4
regulation of gastric acid secretion,NA,gastrointestinal,nonclinical,NA,NA,1
regulation of gastric motility,NA,gastrointestinal,nonclinical,NA,NA,1
regulation of succinate dehydrogenase activity,NA,no category,nonclinical,NA,NA,3
removed as table 8 shows percent differences of less than 5%,NA,NA,clinical,1,NA,NA
renal and urinary disorders urinary retention,NA,renal,clinical,NA,NA,NA
renal cast,NA,renal,nonclinical,NA,NA,3
renal cortical necrosis,NA,renal,nonclinical,NA,NA,1
renal events,NA,renal,clinical,1,NA,NA
renal failure,NA,renal,clinical,2,NA,NA
renal fibrosis,NA,renal,nonclinical,NA,NA,10
renal glomerulus hypertrophy,NA,renal,nonclinical,NA,NA,2
renal impairment �,NA,renal,clinical,NA,NA,NA
renal insufficiency,NA,renal,clinical,1,NA,NA
renal insufficiency (a),NA,renal,clinical,NA,NA,NA
renal interstitial mineralisation,NA,renal,nonclinical,NA,NA,7
renal interstitial neutrophil infiltration,NA,hematologic,nonclinical,NA,NA,2
renal intratubular casts,NA,renal,nonclinical,NA,NA,11
renal ischemia,NA,renal,nonclinical,NA,NA,1
renal mass,NA,renal,nonclinical,NA,NA,2
renal necrosis,NA,renal,nonclinical,NA,NA,20
renal pelvis,NA,renal,nonclinical,NA,NA,1
renal tubular degeneration,NA,renal,nonclinical,NA,NA,13
renal tubular disorder,NA,renal,nonclinical,NA,NA,16
renal tubular dysfunction,NA,renal,nonclinical,NA,NA,6
renal tubular epithelial cell cytoplasmic vacuolization,NA,renal,nonclinical,NA,NA,14
renal tubular necrosis,NA,renal,nonclinical,NA,NA,13
renal tubule atrophy,NA,renal,nonclinical,NA,NA,4
renal tubule hypertrophy,NA,renal,nonclinical,NA,NA,13
renal/urinary system inflammation,NA,renal,nonclinical,NA,NA,1
respiratory distress,NA,respiratory,nonclinical,NA,NA,50
respiratory infection,incidental,respiratory,clinical,2,NA,NA
respiratory toxicity,NA,respiratory,clinical,NA,3,NA
respiratory tract infection,incidental,respiratory,clinical,NA,3,NA
respiratory tract infection (upper and lower),incidental,respiratory,clinical,NA,NA,NA
respiratory pharyngitis,incidental,respiratory,clinical,NA,NA,NA
respiratory pneumonia,incidental,respiratory,clinical,NA,NA,NA
restlessness,incidental,nervous,clinical,1,4,NA
reticulocytes,NA,hematologic,clinical,1,NA,NA
reticulocytopenia,NA,hematologic,nonclinical,NA,NA,68
reticulocytosis,NA,hematologic,nonclinical,NA,NA,117
retina,NA,ocular,nonclinical,NA,NA,1
retinal degeneration,NA,ocular,nonclinical,NA,NA,3
retinal detachment,NA,ocular,nonclinical,NA,NA,1
retinal vascular tortuosity,NA,ocular,nonclinical,NA,NA,1
retinopathy,NA,ocular,nonclinical,NA,NA,4
retracted,NA,no category,nonclinical,NA,NA,1
retrograde ejaculation,NA,reproductive,clinical,1,1,1
retrograde ejaculation,NA,reproductive,nonclinical,1,1,1
rhabdomyolysis,NA,musculoskeletal,clinical,2,NA,NA
rhinitis,incidental,respiratory,clinical,5,4,NA
rhinitis blood creatinine,NA,renal,clinical,1,NA,NA
rhinorrhea,incidental,respiratory,clinical,1,NA,10
rhinorrhea,NA,respiratory,nonclinical,1,NA,10
rigidity,NA,nervous,clinical,1,NA,6
rigidity,NA,nervous,nonclinical,1,NA,6
rigors,NA,nervous,clinical,NA,NA,NA
rolling over,NA,no category,nonclinical,NA,NA,3
rough coat,NA,dermal,nonclinical,NA,NA,21
salivary gland degeneration,NA,gastrointestinal,nonclinical,NA,NA,2
salivary gland inflammation,NA,gastrointestinal,nonclinical,NA,NA,7
salivary gland weight decrease,NA,gastrointestinal,nonclinical,NA,NA,5
salivary gland weight increase,NA,gastrointestinal,nonclinical,NA,NA,8
"salivary gland; hypertrophy, congenital",NA,gastrointestinal,nonclinical,NA,NA,3
scab,NA,dermal,nonclinical,NA,NA,19
scab of skin,NA,dermal,nonclinical,NA,NA,11
scaly skin,NA,dermal,nonclinical,NA,NA,4
scar tissue,NA,no category,nonclinical,NA,NA,1
schizophrenic / schizophreniform behavior,NA,nervous,clinical,NA,NA,NA
scrotum flaccidity,NA,reproductive,nonclinical,NA,NA,8
seasonal allergy,incidental,no category,clinical,NA,NA,NA
secual disfunction (males),NA,reproductive,clinical,NA,NA,NA
sedated state,NA,nervous,nonclinical,NA,NA,18
sedation,incidental,nervous,clinical,1,NA,NA
sedation or somnolence,incidental,nervous,clinical,1,NA,NA
sedation/somnolence,incidental,nervous,clinical,NA,1,NA
seminal vesicle atrophy,NA,reproductive,nonclinical,NA,NA,28
seminal vesicle epithelium degeneration,NA,reproductive,nonclinical,NA,NA,1
seminiferous tubule degeneration,NA,reproductive,nonclinical,NA,NA,30
seminiferous tubule of testis,NA,reproductive,nonclinical,NA,NA,1
sensitivity to light,NA,ocular,clinical,1,NA,NA
sensory abnormalities,NA,nervous,clinical,NA,NA,NA
sensory disturbance,NA,nervous,clinical,NA,NA,NA
sensory loss,NA,nervous,clinical,NA,NA,NA
"serum aminotransferases, abnormal",NA,hepatic,clinical,NA,NA,NA
serum amylase increase,NA,metabolic,clinical,1,NA,NA
serum bicarbonate increase,NA,metabolic,clinical,2,NA,NA
serum chemistry measurement,NA,no category,nonclinical,NA,NA,1
serum chloride decrease,NA,metabolic,clinical,2,NA,NA
serum creatinine,NA,renal,clinical,1,NA,NA
serum creatinine (> 33% increase from baseline and > uln at ≥ 2 consecutive post-baseline values),NA,renal,clinical,NA,NA,NA
serum creatinine increase,NA,renal,clinical,3,NA,NA
serum vitamin measurement,NA,no category,nonclinical,NA,NA,2
severe myelotoxicity,NA,hematologic,clinical,1,NA,NA
sexual disfunction,NA,reproductive,clinical,NA,3,NA
sexual disfunction (female),NA,reproductive,clinical,NA,NA,NA
sexual dysfunction,NA,reproductive,clinical,2,NA,NA
sexual dysfunction - females,NA,nervous,clinical,NA,NA,NA
sexual dysfunction - males,NA,nervous,clinical,NA,NA,NA
sexual function abnormal,NA,reproductive,clinical,NA,1,NA
sexual function disorders,NA,nervous,clinical,1,NA,NA
short estrous cycle,NA,reproductive,nonclinical,NA,NA,1
short fetal femur length,NA,no category,nonclinical,NA,NA,1
short kidney papilla,NA,renal,nonclinical,NA,NA,1
sialorrhea,NA,gastrointestinal,nonclinical,NA,NA,7
sinus headache,incidental,respiratory,clinical,NA,NA,NA
sinusitis,incidental,respiratory,clinical,6,3,NA
skeletal muscle atrophy,NA,musculoskeletal,nonclinical,NA,NA,5
skeletal muscle degeneration,NA,musculoskeletal,nonclinical,NA,NA,5
skeletal muscle necrosis,NA,musculoskeletal,nonclinical,NA,NA,3
skeletal pain,incidental,musculoskeletal,clinical,NA,NA,NA
skin,NA,dermal,clinical,NA,1,NA
skin abrasion,NA,dermal,nonclinical,NA,NA,4
skin and subcutaneous tissue disorders,NA,dermal,clinical,1,NA,NA
skin and subcutaneous tissue disorders sweating increased,NA,dermal,clinical,NA,1,NA
skin changes,NA,dermal,clinical,NA,1,NA
skin discoloration,NA,dermal,clinical,1,NA,NA
skin fissures,NA,dermal,clinical,1,NA,NA
skin hyperpigmentation,NA,dermal,clinical,1,NA,NA
skin inflammation,NA,dermal,nonclinical,NA,NA,4
skin laceration,NA,dermal,clinical,NA,NA,NA
skin lesions,NA,dermal,nonclinical,NA,NA,8
skin neoplasms benign,NA,dermal,clinical,NA,NA,NA
skin nodule,NA,dermal,nonclinical,NA,NA,3
skin rash,incidental,dermal,clinical,1,NA,NA
skin ulcer,NA,dermal,nonclinical,NA,NA,5
sleep disorder,NA,nervous,clinical,2,1,NA
slow shallow breathing,NA,no category,nonclinical,NA,NA,2
small adrenal glands,NA,endocrine,nonclinical,NA,NA,3
small epididymis,NA,reproductive,nonclinical,NA,NA,13
small intestinal inflammation,NA,gastrointestinal,nonclinical,NA,NA,1
small intestine,NA,gastrointestinal,nonclinical,NA,NA,1
small intestine hemorrhage,NA,gastrointestinal,nonclinical,NA,NA,2
small liver,NA,hepatic,nonclinical,NA,NA,5
small lymph nodes,NA,immune,nonclinical,NA,NA,4
small lymphoid organs,NA,immune,nonclinical,NA,NA,2
small ovary,NA,reproductive,nonclinical,NA,NA,2
small pancreas,NA,endocrine,nonclinical,NA,NA,1
small parathyroid gland,NA,endocrine,nonclinical,NA,NA,3
small salivary gland,NA,gastrointestinal,nonclinical,NA,NA,9
small seminal vesicle,NA,reproductive,nonclinical,NA,NA,16
small seminiferous tubules,NA,reproductive,nonclinical,NA,NA,7
small spleen,NA,immune,nonclinical,NA,NA,26
small testis,NA,reproductive,nonclinical,NA,NA,37
small thymus,NA,immune,nonclinical,NA,NA,6
small thyroid gland,NA,endocrine,nonclinical,NA,NA,3
small uterus,NA,reproductive,nonclinical,NA,NA,10
soft stool (finding),NA,gastrointestinal,nonclinical,NA,NA,15
somnolece by age,incidental,nervous,clinical,1,NA,NA
somnolence,incidental,nervous,clinical,35,37,NA
somnolence (h),incidental,nervous,clinical,NA,NA,NA
"somnolence (somnolence, fatigue, sedation)",incidental,nervous,clinical,NA,NA,NA
somnolence and sedation,incidental,nervous,clinical,NA,1,NA
somnolence by sex,incidental,nervous,clinical,1,NA,NA
"somnolence, lethargy, sedation",incidental,nervous,clinical,NA,1,NA
somnolence; et patients: asthenia,incidental,nervous,clinical,1,NA,NA
somnolence or sedation,incidental,nervous,clinical,NA,NA,NA
sorbitol dehydrogenase,NA,metabolic,nonclinical,NA,NA,6
sore on skin,NA,dermal,nonclinical,NA,NA,4
sparse hair,NA,dermal,nonclinical,NA,NA,2
specific gravity urine decreased,NA,renal,nonclinical,NA,NA,55
speech abnormalities,NA,nervous,clinical,NA,NA,NA
speech disorder,NA,nervous,clinical,1,1,NA
speech disorders/related speech problems,NA,nervous,clinical,NA,2,NA
sperm retention,NA,reproductive,nonclinical,NA,NA,1
spermatic granuloma,NA,reproductive,nonclinical,NA,NA,5
spermatocele,NA,reproductive,nonclinical,NA,NA,1
spermatogenesis maturation arrest,NA,reproductive,nonclinical,NA,NA,9
spinal cord degeneration,NA,nervous,nonclinical,NA,NA,1
spinal cord lesion,NA,nervous,nonclinical,NA,NA,1
spleen atrophy,NA,immune,nonclinical,NA,NA,36
spleen fibrosis,NA,immune,nonclinical,NA,NA,3
spleen hyperplasia,NA,immune,nonclinical,NA,NA,9
spleen hypoplasia,NA,immune,nonclinical,NA,NA,1
spleen lymphoid follicle,NA,immune,nonclinical,NA,NA,3
spleen pigment deposits,NA,immune,nonclinical,NA,NA,2
spleen; inflammation,NA,immune,nonclinical,NA,NA,9
splenic adhesion,NA,immune,nonclinical,NA,NA,2
splenic necrosis,NA,immune,nonclinical,NA,NA,8
sprains and strains,NA,musculoskeletal,clinical,NA,NA,NA
squamous cell carcinoma of skin,NA,NA,clinical,NA,1,NA
squamous papilloma,NA,no category,nonclinical,NA,NA,2
squatting body position,NA,no category,nonclinical,NA,NA,1
staggering gait,NA,nervous,nonclinical,NA,NA,6
staining (finding),NA,no category,nonclinical,NA,NA,75
staining around eyes,NA,no category,nonclinical,NA,NA,11
staining around nose,NA,no category,nonclinical,NA,NA,16
status epilepticus,NA,no category,clinical,NA,NA,NA
steatorrhea,NA,no category,nonclinical,NA,NA,1
sternum hypoplasia,NA,no category,nonclinical,NA,NA,1
stomach cancer,NA,no category,nonclinical,NA,NA,2
stomach discomfort,incidental,gastrointestinal,clinical,1,NA,NA
stomach epithelial hyperplasia,NA,gastrointestinal,nonclinical,NA,NA,31
stomach fibrosis,NA,gastrointestinal,nonclinical,NA,NA,1
stomach glandular epithelium,NA,gastrointestinal,nonclinical,NA,NA,1
stomach glandular region mucosa,NA,gastrointestinal,nonclinical,NA,NA,4
